
Intensity Median Ch=37 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
574,,Surface,37,Image 1,1,Class B,0,
1124,,Surface,37,Image 1,1,Class B,1,
1908,,Surface,37,Image 1,1,Class B,2,
748,,Surface,37,Image 1,1,Class A,3,
