
Intensity Mean Ch=40 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
77.1046,,Surface,40,Image 1,1,Class B,0,
95.4796,,Surface,40,Image 1,1,Class B,1,
80.4961,,Surface,40,Image 1,1,Class B,2,
97.9903,,Surface,40,Image 1,1,Class A,3,
