
Intensity Sum Ch=7 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
0,,Surface,7,Image 1,1,Class B,0,
810,,Surface,7,Image 1,1,Class B,1,
5193,,Surface,7,Image 1,1,Class B,2,
9002,,Surface,7,Image 1,1,Class A,3,
