
Intensity Max Ch=12 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
396,,Surface,12,Image 1,1,Class B,0,
1151,,Surface,12,Image 1,1,Class B,1,
5212,,Surface,12,Image 1,1,Class B,2,
6170,,Surface,12,Image 1,1,Class A,3,
