
Intensity Max Ch=11 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
106,,Surface,11,Image 1,1,Class B,0,
276,,Surface,11,Image 1,1,Class B,1,
1730,,Surface,11,Image 1,1,Class B,2,
1945,,Surface,11,Image 1,1,Class A,3,
