
Intensity StdDev Ch=35 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
4.9397,,Surface,35,Image 1,1,Class B,0,
5.2444,,Surface,35,Image 1,1,Class B,1,
7.72414,,Surface,35,Image 1,1,Class B,2,
3.38087,,Surface,35,Image 1,1,Class A,3,
