
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
22,,Surface,34,Image 1,1,Class B,0,
31,,Surface,34,Image 1,1,Class B,1,
49,,Surface,34,Image 1,1,Class B,2,
85,,Surface,34,Image 1,1,Class A,3,
