
Intensity Sum Ch=19 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
6447,,Surface,19,Image 1,1,Class B,0,
63052,,Surface,19,Image 1,1,Class B,1,
278619,,Surface,19,Image 1,1,Class B,2,
250594,,Surface,19,Image 1,1,Class A,3,
