
Intensity Sum Ch=13 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
496843,,Surface,13,Image 1,1,Class B,0,
977541,,Surface,13,Image 1,1,Class B,1,
4.10106e+06,,Surface,13,Image 1,1,Class B,2,
2.81559e+06,,Surface,13,Image 1,1,Class A,3,
