
Intensity Sum of Square Ch=13 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
3.20409e+08,,Surface,13,Image 1,1,Class B,0,
1.08211e+09,,Surface,13,Image 1,1,Class B,1,
8.70987e+09,,Surface,13,Image 1,1,Class B,2,
8.08588e+09,,Surface,13,Image 1,1,Class A,3,
