
Intensity Sum of Square Ch=39 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
622140,,Surface,39,Image 1,1,Class B,0,
2.68915e+06,,Surface,39,Image 1,1,Class B,1,
7.83185e+06,,Surface,39,Image 1,1,Class B,2,
1.56629e+07,,Surface,39,Image 1,1,Class A,3,
