
Intensity Median Ch=15 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
0.25,,Surface,15,Image 1,1,Class B,0,
0.5,,Surface,15,Image 1,1,Class B,1,
0.5,,Surface,15,Image 1,1,Class B,2,
474,,Surface,15,Image 1,1,Class A,3,
