
Intensity Median Ch=28 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
93.5,,Surface,28,Image 1,1,Class B,0,
429.5,,Surface,28,Image 1,1,Class B,1,
607,,Surface,28,Image 1,1,Class B,2,
245,,Surface,28,Image 1,1,Class A,3,
