
Intensity Sum of Square Ch=22 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
3.89844e+06,,Surface,22,Image 1,1,Class B,0,
667541,,Surface,22,Image 1,1,Class B,1,
8.22518e+06,,Surface,22,Image 1,1,Class B,2,
2.82142e+07,,Surface,22,Image 1,1,Class A,3,
