
Intensity Max Ch=27 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
1971,,Surface,27,Image 1,1,Class B,0,
1983,,Surface,27,Image 1,1,Class B,1,
5629,,Surface,27,Image 1,1,Class B,2,
5314,,Surface,27,Image 1,1,Class A,3,
