
Intensity Sum Ch=16 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
44426,,Surface,16,Image 1,1,Class B,0,
81172,,Surface,16,Image 1,1,Class B,1,
767503,,Surface,16,Image 1,1,Class B,2,
1.20489e+06,,Surface,16,Image 1,1,Class A,3,
