
Intensity Max Ch=4 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
7215,,Surface,4,Image 1,1,Class B,0,
2399,,Surface,4,Image 1,1,Class B,1,
7508,,Surface,4,Image 1,1,Class B,2,
5773,,Surface,4,Image 1,1,Class A,3,
