
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
1348.22,,Surface,2,Image 1,1,Class B,0,
1070.74,,Surface,2,Image 1,1,Class B,1,
860.619,,Surface,2,Image 1,1,Class B,2,
1200.53,,Surface,2,Image 1,1,Class A,3,
