
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,Set 1,ID,
58.7313,µm,Surface,Position,1,Class B,0,
57.9874,µm,Surface,Position,1,Class B,1,
56.619,µm,Surface,Position,1,Class B,2,
55.4553,µm,Surface,Position,1,Class A,3,
