
Intensity Sum of Square Ch=30 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
7.50436e+07,,Surface,30,Image 1,1,Class B,0,
4.71449e+06,,Surface,30,Image 1,1,Class B,1,
3.56147e+06,,Surface,30,Image 1,1,Class B,2,
4.63517e+06,,Surface,30,Image 1,1,Class A,3,
