
Intensity Median Ch=17 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
214,,Surface,17,Image 1,1,Class B,0,
666,,Surface,17,Image 1,1,Class B,1,
1316,,Surface,17,Image 1,1,Class B,2,
612,,Surface,17,Image 1,1,Class A,3,
