
Intensity Sum Ch=28 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
392500,,Surface,28,Image 1,1,Class B,0,
744892,,Surface,28,Image 1,1,Class B,1,
1.79514e+06,,Surface,28,Image 1,1,Class B,2,
1.61568e+06,,Surface,28,Image 1,1,Class A,3,
