
Intensity Median Ch=12 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
0.125,,Surface,12,Image 1,1,Class B,0,
0.5,,Surface,12,Image 1,1,Class B,1,
322,,Surface,12,Image 1,1,Class B,2,
442,,Surface,12,Image 1,1,Class A,3,
