
Intensity Mean Ch=10 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
76.087,,Surface,10,Image 1,1,Class B,0,
204.749,,Surface,10,Image 1,1,Class B,1,
665.468,,Surface,10,Image 1,1,Class B,2,
648.627,,Surface,10,Image 1,1,Class A,3,
