
Intensity Median Ch=7 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
0,,Surface,7,Image 1,1,Class B,0,
0.125,,Surface,7,Image 1,1,Class B,1,
0.125,,Surface,7,Image 1,1,Class B,2,
0.25,,Surface,7,Image 1,1,Class A,3,
