
Intensity Max Ch=40 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
2065,,Surface,40,Image 1,1,Class B,0,
1804,,Surface,40,Image 1,1,Class B,1,
1997,,Surface,40,Image 1,1,Class B,2,
1209,,Surface,40,Image 1,1,Class A,3,
