
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
796366,,Surface,3,Image 1,1,Class B,0,
693145,,Surface,3,Image 1,1,Class B,1,
1.19841e+06,,Surface,3,Image 1,1,Class B,2,
1.49696e+06,,Surface,3,Image 1,1,Class A,3,
