
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
3426,,Surface,5,Image 1,1,Class B,0,
3787,,Surface,5,Image 1,1,Class B,1,
6243,,Surface,5,Image 1,1,Class B,2,
7491,,Surface,5,Image 1,1,Class A,3,
