
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
4.87958e+09,,Surface,4,Image 1,1,Class B,0,
1.20493e+09,,Surface,4,Image 1,1,Class B,1,
3.33035e+09,,Surface,4,Image 1,1,Class B,2,
6.99401e+09,,Surface,4,Image 1,1,Class A,3,
