
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
1.23665,,Surface,6,Image 1,1,Class B,0,
9.94962,,Surface,6,Image 1,1,Class B,1,
13.0385,,Surface,6,Image 1,1,Class B,2,
49.1368,,Surface,6,Image 1,1,Class A,3,
