
Intensity Sum Ch=40 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
140099,,Surface,40,Image 1,1,Class B,0,
149712,,Surface,40,Image 1,1,Class B,1,
225711,,Surface,40,Image 1,1,Class B,2,
324446,,Surface,40,Image 1,1,Class A,3,
