
Intensity Mean Ch=32 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
3.2251,,Surface,32,Image 1,1,Class B,0,
5.95281,,Surface,32,Image 1,1,Class B,1,
0.918331,,Surface,32,Image 1,1,Class B,2,
11.0196,,Surface,32,Image 1,1,Class A,3,
