
Intensity Sum Ch=32 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
5860,,Surface,32,Image 1,1,Class B,0,
9334,,Surface,32,Image 1,1,Class B,1,
2575,,Surface,32,Image 1,1,Class B,2,
36486,,Surface,32,Image 1,1,Class A,3,
