
Intensity StdDev Ch=20 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
18.3426,,Surface,20,Image 1,1,Class B,0,
10.371,,Surface,20,Image 1,1,Class B,1,
50.6055,,Surface,20,Image 1,1,Class B,2,
12.5734,,Surface,20,Image 1,1,Class A,3,
