
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
17,,Surface,5,Image 1,1,Class B,0,
394,,Surface,5,Image 1,1,Class B,1,
1232,,Surface,5,Image 1,1,Class B,2,
318,,Surface,5,Image 1,1,Class A,3,
