
Intensity Max Ch=8 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
121,,Surface,8,Image 1,1,Class B,0,
1995,,Surface,8,Image 1,1,Class B,1,
3636,,Surface,8,Image 1,1,Class B,2,
2089,,Surface,8,Image 1,1,Class A,3,
