
Intensity StdDev Ch=21 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
435.591,,Surface,21,Image 1,1,Class B,0,
590.898,,Surface,21,Image 1,1,Class B,1,
1041.05,,Surface,21,Image 1,1,Class B,2,
1473.31,,Surface,21,Image 1,1,Class A,3,
