
Intensity Max Ch=17 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
4010,,Surface,17,Image 1,1,Class B,0,
2675,,Surface,17,Image 1,1,Class B,1,
6405,,Surface,17,Image 1,1,Class B,2,
8041,,Surface,17,Image 1,1,Class A,3,
