
Intensity StdDev Ch=24 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
5.50734,,Surface,24,Image 1,1,Class B,0,
17.1475,,Surface,24,Image 1,1,Class B,1,
43.0793,,Surface,24,Image 1,1,Class B,2,
162.743,,Surface,24,Image 1,1,Class A,3,
