
Intensity Sum of Square Ch=35 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
44592,,Surface,35,Image 1,1,Class B,0,
43668,,Surface,35,Image 1,1,Class B,1,
168523,,Surface,35,Image 1,1,Class B,2,
37969,,Surface,35,Image 1,1,Class A,3,
