
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
438.286,,Surface,3,Image 1,1,Class B,0,
442.057,,Surface,3,Image 1,1,Class B,1,
427.393,,Surface,3,Image 1,1,Class B,2,
452.117,,Surface,3,Image 1,1,Class A,3,
