
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
829,,Surface,1,Image 1,1,Class B,0,
1254,,Surface,1,Image 1,1,Class B,1,
1598,,Surface,1,Image 1,1,Class B,2,
525,,Surface,1,Image 1,1,Class A,3,
