
Intensity Sum Ch=37 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
1.47636e+06,,Surface,37,Image 1,1,Class B,0,
1.85046e+06,,Surface,37,Image 1,1,Class B,1,
6.77861e+06,,Surface,37,Image 1,1,Class B,2,
5.66069e+06,,Surface,37,Image 1,1,Class A,3,
