
Intensity Sum of Square Ch=9 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
8.37523e+08,,Surface,9,Image 1,1,Class B,0,
2.57225e+09,,Surface,9,Image 1,1,Class B,1,
1.72661e+10,,Surface,9,Image 1,1,Class B,2,
2.17836e+10,,Surface,9,Image 1,1,Class A,3,
