
Intensity StdDev Ch=34 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
0.720959,,Surface,34,Image 1,1,Class B,0,
1.75122,,Surface,34,Image 1,1,Class B,1,
2.5328,,Surface,34,Image 1,1,Class B,2,
4.58784,,Surface,34,Image 1,1,Class A,3,
