
Intensity Max Ch=7 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
0,,Surface,7,Image 1,1,Class B,0,
277,,Surface,7,Image 1,1,Class B,1,
358,,Surface,7,Image 1,1,Class B,2,
615,,Surface,7,Image 1,1,Class A,3,
